"species","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic"
"Acanthephyra purpurea",25,9,3,7,25,3,9,3,3,2,7,2
"Acanthurus olivaceus",44,20,5,10,44,5,20,5,5,2,10,4
"Acropora cervicornis",18,9,3,5,18,5,9,1,3,1,5,1
"Acropora millepora",44,20,5,11,44,2,20,1,5,1,11,1
"Acropora palmata",12,5,3,5,12,4,5,1,3,1,5,1
"Acropora prolifera",10,3,3,3,9,5,3,1,3,1,3,1
"Agaricia fragilis",12,3,2,3,12,1,3,1,2,1,3,1
"Agaricia undata",9,3,3,3,9,1,3,1,3,1,3,1
"Amphiprion bicinctus",6,3,1,2,6,3,3,1,1,1,2,2
"Amphiprion clarkii",54,21,5,8,54,1,21,1,5,1,8,1
"Anguilla anguilla",32,11,6,14,32,1,11,1,6,1,14,2
"Anguilla rostrata",23,9,6,6,23,2,9,1,6,1,6,2
"Anthopleura elegantissima",8,2,1,2,8,4,2,2,1,1,2,2
"Apostichopus californicus",9,4,3,3,9,3,4,1,3,1,3,1
"Aptenodytes patagonicus",37,14,5,9,37,4,14,3,5,2,9,2
"Arctocephalus forsteri",25,13,6,8,25,6,13,2,6,2,8,1
"Aythya marila",60,14,6,16,60,8,14,3,6,2,16,3
"Bartholomea annulata",12,4,3,5,12,7,4,1,3,1,5,2
"Bathygobius cocosensis",53,26,6,12,53,3,26,3,6,2,12,2
"Bathymodiolus platifrons",4,3,2,3,4,4,3,3,2,2,3,2
"Bathyraja aleutica",11,4,3,2,11,1,4,1,3,1,2,1
"Bathyraja panthera",1,1,1,1,1,1,1,1,1,1,1,1
"Bathyraja parmifera",13,5,4,4,13,4,5,4,4,3,4,1
"Callinectes sapidus",25,7,4,6,25,3,7,3,4,2,6,2
"Caretta caretta",129,47,12,25,129,2,47,2,12,2,25,1
"Chlorostoma funebralis",7,2,1,3,7,2,2,2,1,1,3,1
"Coryphaenoides rupestris",19,5,3,5,19,1,5,1,3,1,5,2
"Cranchia scabra",48,26,9,18,48,2,26,2,9,1,18,2
"Ctenolabrus rupestris",10,4,1,6,10,4,4,2,1,1,6,3
"Dascyllus trimaculatus",76,28,6,12,76,12,28,7,6,2,12,5
"Delphinapterus leucas",31,7,5,11,31,2,7,2,5,2,11,1
"Ectopleura larynx",21,11,7,12,21,2,11,2,7,1,12,2
"Engraulis encrasicolus",23,8,4,9,23,2,8,2,4,1,9,3
"Eudyptes chrysolophus",30,14,5,8,30,6,14,2,5,1,8,1
"Eukrohnia hamata",51,20,9,18,51,4,20,2,9,2,18,3
"Exaiptasia brasiliensis",1,1,1,1,NA,1,NA,1,NA,1,NA,1
"Exaiptasia diaphana",39,20,9,12,39,4,20,4,9,4,12,2
"Fibramia amboinensis",16,8,2,4,16,1,8,1,2,1,4,3
"Fucus vesiculosus",30,7,3,10,30,2,7,1,3,1,10,1
"Fundulus grandis",4,2,2,2,4,1,2,1,2,1,2,1
"Fundulus heteroclitus",6,2,1,3,6,3,2,2,1,1,3,2
"Gadus macrocephalus",18,6,3,5,18,2,6,2,3,2,4,3
"Gadus morhua",25,6,4,8,25,6,6,2,4,2,8,2
"Galaxea fascicularis",52,22,6,10,52,8,22,5,6,2,10,3
"Galaxea horrescens",16,8,3,5,16,2,8,1,3,1,5,2
"Galaxias maculatus",22,9,3,6,22,3,9,2,3,1,6,2
"Gasterosteus aculeatus",47,12,4,12,45,25,11,8,4,3,11,11
"Halichoerus grypus atlantica",12,5,2,6,12,3,5,1,2,1,6,2
"Holacanthus passer",15,5,4,3,15,5,5,3,4,2,3,2
"Homarus americanus",7,3,2,3,7,2,3,1,2,1,3,1
"Idotea baltica",24,8,4,9,24,2,8,1,4,1,9,3
"Isocladus armatus",5,2,1,1,5,2,2,2,1,1,1,1
"Istiblennius lineatus",47,22,5,8,47,2,22,2,5,2,8,2
"Lagenorhynchus acutus",21,8,5,8,21,3,8,1,5,1,8,2
"Lagenorhynchus albirostris",18,5,3,9,18,6,5,3,3,3,9,4
"Laguncularia racemosa",32,10,5,6,32,8,10,2,5,2,6,1
"Larimichthys polyactis",5,3,2,2,5,2,3,2,2,1,2,1
"Lateolabrax maculatus",9,4,2,3,9,4,4,3,2,2,3,1
"Leptopsammia pruvoti",13,6,4,7,13,3,6,1,4,1,7,1
"Lutjanus campechanus",14,6,3,3,14,1,6,1,3,1,3,1
"Lutjanus fulvus",71,30,7,12,71,1,30,1,7,1,12,2
"Mallotus villosus",32,6,4,10,32,4,6,2,4,2,10,2
"Montipora capitata",16,9,4,5,16,1,9,1,4,1,5,1
"Mytilus galloprovincialis",13,4,1,6,13,4,4,2,1,1,6,2
